is_std,ftd_price,min_level,avg_win_stddevsamp,max_win_stddevsamp,min_win_stddevsamp,num_days_ooc_rate,sum_total_ooc_rate,mailbox_wb_rate,mailbox_vault_key_chips_rate,mailbox_vault_coins_rate,spins_completed_rate,avg_wager,avg_rtp,max_rtp,min_rtp,avg_spins_left_in_bankroll,max_spins_left_in_bankroll,min_spins_left_in_bankroll,avg_daily_bonus_amount,max_daily_bonus_amount,min_daily_bonus_amount,we_completed_rate,vault_tier_up_rate,vault_tier_dropdown_rate,wildball_silver_rate,wildball_gold_rate,wildball_ruby_rate,wildball_emerald_rate,wildball_specia_diamond_rate,vv_completed_rate
0,4.99,113,1.95,3.36,0.60,1.00,1.00,0.00,0.00,0.33,56,967606,0.45,0.81,0.19,0,1,0,2075000,2950000,1200000,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00
0,9.99,55,3.01,5.41,0.61,0.00,0.00,0.00,0.00,0.00,24,59633,0.60,0.87,0.34,3684,4195,3173,1375000,2000000,750000,0.00,0.00,0.14,1.00,0.00,0.00,0.00,0.00,0.00
0,4.99,138,4.02,4.02,4.02,0.33,0.33,0.00,0.00,0.00,56,308268,0.55,0.55,0.55,245,245,245,900000,900000,900000,0.00,0.00,0.33,1.00,0.00,0.00,0.00,0.00,0.00
1,4.99,84,0.72,1.99,0.08,1.00,1.67,0.00,0.00,0.00,56,1000050,0.18,0.44,0.04,0,0,0,1266666,1650000,850000,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00
1,4.99,101,4.20,4.20,4.20,0.00,0.00,0.00,0.00,0.00,42,4023952,0.85,0.85,0.85,42,42,42,1000000,1000000,1000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,9.99,114,11.05,11.05,11.05,0.33,1.00,0.00,0.00,0.00,56,19882171,0.86,0.86,0.86,0,0,0,1528160,3153127,813786,0.00,0.00,0.00,0.33,0.67,0.00,0.00,0.00,0.00
0,2.99,43,3.61,5.72,1.51,0.67,1.00,0.00,0.00,0.00,56,1111077,0.63,0.86,0.40,0,0,0,950000,1000000,900000,0.00,0.00,0.33,0.50,0.00,0.00,0.50,0.00,0.00
0,9.99,107,1.74,2.58,0.55,1.00,1.33,0.00,0.00,0.33,56,1441324,0.67,0.95,0.26,0,0,0,850000,950000,750000,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00
0,9.99,20,2.56,3.20,1.92,0.33,0.33,0.00,0.00,0.00,56,148632,0.89,1.38,0.40,1904,2656,1153,1400000,2000000,800000,0.00,0.00,0.00,0.33,0.67,0.00,0.00,0.00,0.33
1,4.99,26,2.80,6.00,0.61,1.00,1.00,0.00,0.00,0.00,56,333609,0.41,0.55,0.15,1,2,0,883333,950000,800000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
0,4.99,73,0.54,0.93,0.00,0.83,0.50,0.00,0.00,0.00,28,422261,0.19,0.37,0.00,0,0,0,1100000,1350000,800000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,24.99,110,2.94,4.97,0.92,0.17,0.17,0.00,0.00,0.00,28,1000050,0.58,0.88,0.28,983,985,981,2600000,4000000,1200000,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
