is_std,ftd_price,num_days_ooc_per_day,sum_total_ooc_per_day,avg_win_multiplier,max_win_multiplier,min_win_multiplier,avg_total_wins,avg_wager,avg_rtp,max_rtp,min_rtp,avg_spins_left_in_bankroll,max_spins_left_in_bankroll,min_spins_left_in_bankroll,we_completed_rate,vault_tier_up_rate,vault_tier_dropdown_rate,wildball_silver_rate,wildball_gold_rate,wildball_emerald_ruby_rate,wildball_specia_diamond_rate,vv_completed_rate
0,9.99,0.5,0.13,33.52,63.34,3.13,0.36,814222.44,0.66,0.91,0.38,52,239,1,0,0,0,0.25,0.5,0,0.25,0
1,4.99,1,23.67,71.4,118.93,40.13,0.34,511660.08,0.74,0.86,0.61,22,63,0,0,0.67,0,0.6,0.4,0,0,0.67
0,9.99,0.13,0.13,55.62,121.7,12.5,0.34,259389.37,0.75,1,0.42,188,292,57,0,0.25,0,0.75,0.25,0,0,0.25
0,4.99,0.71,3.71,141.92,278.25,27.2,0.28,102225.02,0.85,1.03,0.67,226,752,1,0.5,0.29,0.14,0.54,0.31,0.08,0.08,0.43
1,9.99,0.33,0.33,138.33,252.8,37.2,0.19,3435630.88,1.07,1.13,0.97,291,463,36,0,0,0,0.5,0.2,0.2,0.1,0
0,4.99,0.17,0.17,65.5,118.05,14.5,0.35,237866.8,0.83,1.09,0.59,317,351,275,0,0.17,0,0.2,0.8,0,0,0
0,4.99,0.5,0.5,38.52,48.93,25.83,0.36,140137.28,0.68,0.81,0.43,19,51,0,0,0,0,0,0.6,0.4,0,0
0,4.99,0.2,1.2,47.78,100.9,0.4,0.57,856423.92,1.94,4.8,0.06,293,441,46,0,0,0,0.5,0.5,0,0,0
0,4.99,0.29,1,54.71,105.33,22.67,0.33,551968.52,0.82,1.19,0.38,35,81,0,0,0,0.14,0,1,0,0,0
0,4.99,0.17,1,73.96,170.57,6.2,0.31,233297.15,0.82,2,0.38,193,309,98,0,0.17,0.17,0.4,0.4,0.2,0,0
1,2.99,1,1.33,44.66,122.73,0.4,0.32,282535.79,0.52,0.76,0.07,0,0,0,0,0,0,0,1,0,0,0
0,4.99,0.13,0.13,32.85,115,3.1,0.33,4035848.42,0.9,2.66,0.27,294,600,0,0,0.13,0.13,0.57,0.43,0,0,0
1,24.99,0.67,22,56.13,113.4,25,0.5,1235824.48,0.95,1.24,0.79,24,49,0,0,0,0,0,0,0,0,0
1,9.99,1,38,62.54,121.33,7.3,0.29,1193356.81,0.84,1.23,0.6,345,690,0,0,0.33,0,0.54,0.31,0.15,0,0
1,9.99,0.5,8.67,52.02,61.75,44.33,0.35,594221.41,0.73,0.83,0.62,46,139,0,1,0.33,0,0.2,0.5,0.3,0,0.5
0,24.99,0,0,88.79,197.37,30.73,0.35,2789588.67,1.14,2.92,0.56,460,589,278,0,0,0,0.45,0.32,0.18,0.05,1
1,4.99,1,28,80.92,146,30.5,0.24,437186.35,0.73,0.87,0.49,13,29,0,1,0.67,0,0.23,0.69,0.08,0,0.67
0,4.99,0,0,43.21,96.58,1.13,0.35,447883.96,1.31,3.58,0.19,515,870,148,0,0.13,0.13,0.29,0.57,0.14,0,0.38
